ProjectName,Scenario,Watershed,WeppID,TopazID,Landuse,Soil,Length (m),Hillslope Area (ha),Runoff (mm),Lateral Flow (mm),Baseflow (mm),Soil Loss (kg/ha),Sediment Deposition (kg/ha),Sediment Yield (kg/ha),Width (m),Slope,LanduseDesc,SoilDesc,Particle Class 1 Fraction,Particle Class 2 Fraction,Particle Class 3 Fraction,Particle Class 4 Fraction,Particle Class 5 Fraction,Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (kg/ha),Solub..React..P..kg.ha.3.,Particulate.P..kg.ha.3.,Total.P..kg.ha.3.
kam_mt,Mulch_Till,Kamiache_Creek,1,22,202,68521,96.11317231,1.8,2.683333333,0.055555556,34.74444444,1.055555556,0,1.055555556,187.2792206,0.125391432,Barley Fallow Int Precip MT 1,"Chard silt loam, 7 to 15 percent slopes (SIL)",0.03,0.49,0.203,0.138,0.138,0.5809,0.613172222,,,
kam_mt,Mulch_Till,Kamiache_Creek,2,23,202,68522,264.3112238,5,2.816,0.03,32.89,97.2,0,97.2,187.2792206,0.171680152,Barley Fallow Int Precip MT 1,"Chard silt loam, 15 to 25 percent slopes (SIL)",0.025,0.405,0.172,0.199,0.2,0.4816,46.81152,,,
kam_mt,Mulch_Till,Kamiache_Creek,3,31,202,68590,225.2571497,5.4,6.248148148,0.005555556,13.43888889,1.37037037,0,1.37037037,239.7260202,0.087769864,Barley Fallow Int Precip MT 1,"Athena silt loam, 7 to 25 percent slopes (SIL)",0.055,0.461,0.364,0.101,0.019,0.6252,0.856755556,,,
kam_mt,Mulch_Till,Kamiache_Creek,4,32,202,68522,69.58506689,9,1.153333333,0.078888889,32.08888889,0.655555556,0,0.655555556,1293.380951,0.124645697,Barley Fallow Int Precip MT 1,"Chard silt loam, 15 to 25 percent slopes (SIL)",0.028,0.461,0.193,0.159,0.159,0.5469,0.358523333,,,
kam_mt,Mulch_Till,Kamiache_Creek,5,33,202,68590,77.93527492,10.1,8.52970297,0.018811881,13.07425743,1.653465347,0,1.653465347,1293.380951,0.106439523,Barley Fallow Int Precip MT 1,"Athena silt loam, 7 to 25 percent slopes (SIL)",0.054,0.459,0.363,0.104,0.02,0.6219,1.028290099,,,
kam_mt,Mulch_Till,Kamiache_Creek,6,42,42,68522,62.13203436,0.5,0,0.08,17.42,0,0,0,72.42640687,0.119180293,Evergreen Forest,"Chard silt loam, 15 to 25 percent slopes (SIL)",0,0,0,0,0,0,0,,,
kam_mt,Mulch_Till,Kamiache_Creek,7,43,202,68537,62.13203436,0.5,4.88,0.02,11.38,2,0,2,72.42640687,0.123026485,Barley Fallow Int Precip MT 1,Hermiston silt loam (SIL),0.043,0.552,0.287,0.086,0.032,0.6811,1.3622,,,
kam_mt,Mulch_Till,Kamiache_Creek,8,52,202,68522,51.50076385,0.8,0.725,0.0875,32.9625,0.75,0,0.75,157.2792206,0.101603179,Barley Fallow Int Precip MT 1,"Chard silt loam, 15 to 25 percent slopes (SIL)",0.027,0.443,0.188,0.171,0.171,0.5264,0.3948,,,
kam_mt,Mulch_Till,Kamiache_Creek,9,53,202,68537,11.44461419,0.2,5.4,0.1,11.3,2.5,0,2.5,157.2792206,0.17,Barley Fallow Int Precip MT 1,Hermiston silt loam (SIL),0.043,0.552,0.287,0.086,0.032,0.6811,1.70275,,,
kam_mt,Mulch_Till,Kamiache_Creek,10,62,202,68522,151.3744393,6.4,0.6734375,0.0328125,32.7078125,25.40625,0,25.40625,422.1320344,0.10411067,Barley Fallow Int Precip MT 1,"Chard silt loam, 15 to 25 percent slopes (SIL)",0.025,0.404,0.171,0.2,0.2,0.4803,12.20262188,,,
kam_mt,Mulch_Till,Kamiache_Creek,11,63,202,68522,149.2424049,6.3,2.061904762,0.052380952,32.34603175,52.88888889,0,52.88888889,422.1320344,0.175074484,Barley Fallow Int Precip MT 1,"Chard silt loam, 15 to 25 percent slopes (SIL)",0.025,0.404,0.171,0.2,0.2,0.4803,25.40253333,,,
kam_mt,Mulch_Till,Kamiache_Creek,12,72,202,2651360,197.8526201,25.2,8.140079365,0.008730159,13.1797619,76.65079365,0,76.6547619,1273.675324,0.130371383,Barley Fallow Int Precip MT 1,"Athena silt loam, 0 to 8 percent slopes (SIL)",0.047,0.397,0.325,0.194,0.037,0.5415,41.50855357,,,
kam_mt,Mulch_Till,Kamiache_Creek,13,73,202,68590,101.7527761,13,8.885384615,0.016153846,13.16692308,3.061538462,0,3.061538462,1273.675324,0.114888564,Barley Fallow Int Precip MT 1,"Athena silt loam, 7 to 25 percent slopes (SIL)",0.051,0.433,0.347,0.142,0.027,0.5881,1.800490769,,,
