"ProjectName","Scenario","Watershed","Total.contributing.area.to.outlet..ha.","Precipitation..m.3.yr.","Precipitation.per.area..mm.yr.","Stream.discharge..m.3.yr.","Stream.discharge.per.area..mm.yr.","Total.hillslope.soil.loss..tonne.yr.","Total.hillslope.soil.loss.per.area..kg.ha.yr.","Total.channel.soil.loss..tonne.yr.","Total.channel.soil.loss.per.area..kg.ha.yr.","Sediment.discharge..tonne.yr.","Sediment.discharge.per.area..kg.ha.yr.","Sediment.delivery.ratio.for.watershed","Phosphorus.discharge..kg.yr.","Phosphorus.discharge.per.area..kg.ha.yr.","Particle.Fraction.Under.0.016.mm","Sediment.Yield.of.Particles.Under.0.016.mm..tonne.yr.","Sediment.Yield.of.Particles.Under.0.016.mm.per.area..kg.ha.yr."
"lt_202010_0_Near_Burton_Creek_CurCond","CurCond","0_Near_Burton_Creek",122.27,1276853,1044.28968675881,529336,432.923857037703,0,0,2.5,20.4465527112129,2.5,20.4465527112129,1.002,5.3,0.0433466917477713,0.1918,0.4795,3.92164881001063
"lt_202010_0_Near_Burton_Creek_HighSev","HighSev","0_Near_Burton_Creek",122.27,1276853,1044.28968675881,914370,747.828576102069,60.3,493.170851394455,5.5,44.9824159646684,70.7,578.228510673101,1.074,81.8,0.669011204710886,0.1576,11.14232,91.1288132820807
"lt_202010_0_Near_Burton_Creek_LowSev","LowSev","0_Near_Burton_Creek",122.27,1276853,1044.28968675881,822562,672.742291649628,1.2,9.81434530138219,4.2,34.3502085548377,5.4,44.1645538562198,1.005,9.7,0.079332624519506,0.1839,0.99306,8.12186145415883
"lt_202010_0_Near_Burton_Creek_ModSev","ModSev","0_Near_Burton_Creek",122.27,1276853,1044.28968675881,874463,715.190152940214,16,130.857937351763,5.1,41.7109675308743,21.7,177.476077533328,1.027,27.8,0.227365666148687,0.1634,3.54578,28.9995910689458
"lt_202010_0_Near_Burton_Creek_PrescFire","PrescFire","0_Near_Burton_Creek",122.27,1276853,1044.28968675881,749751,613.192933671383,1.3,10.6322074098307,4.1,33.5323464463891,5.4,44.1645538562198,1.005,9.4,0.0768790381941605,0.1819,0.98226,8.03353234644639
"lt_202010_0_Near_Burton_Creek_SimFire.fccsFuels_obs_cli","SimFire_fccsFuels_obs_cli","0_Near_Burton_Creek",122.27,1276853,1044.28968675881,873656,714.530138218696,16.6,135.765110002454,5.1,41.7109675308743,22.3,182.383250184019,1.029,28.4,0.232272838799378,0.1634,3.64382,29.8014230800687
"lt_202010_0_Near_Burton_Creek_SimFire.landisFuels_fut_cli_A2","SimFire_landisFuels_fut_cli_A2","0_Near_Burton_Creek",122.27,1403116,1147.55541015785,956108,781.964504784493,51.3,419.563261634089,6.1,49.8895886153595,61.8,505.438783021183,1.076,72.1,0.58967858019138,0.1586,9.80148,80.1625909871596
"lt_202010_0_Near_Burton_Creek_SimFire.landisFuels_obs_cli","SimFire_landisFuels_obs_cli","0_Near_Burton_Creek",122.27,1276853,1044.28968675881,869217,710.899648319293,15.6,127.586488917968,5.1,41.7109675308743,21.2,173.386766991085,1.028,27.2,0.222458493497996,0.1634,3.46408,28.3313977263433
"lt_202010_0_Near_Burton_Creek_Thinn85","Thinn85","0_Near_Burton_Creek",122.27,1276853,1044.28968675881,784245,641.404269240206,0.1,0.817862108448516,3.9,31.8966222294921,3.9,31.8966222294921,1.002,8,0.0654289686758812,0.1911,0.74529,6.09544450805594
"lt_202010_0_Near_Burton_Creek_Thinn93","Thinn93","0_Near_Burton_Creek",122.27,1276853,1044.28968675881,783912,641.131921158093,0.1,0.817862108448516,3.9,31.8966222294921,3.9,31.8966222294921,1.002,8,0.0654289686758812,0.1908,0.74412,6.08587552138709
"lt_202010_0_Near_Burton_Creek_Thinn96","Thinn96","0_Near_Burton_Creek",122.27,1276853,1044.28968675881,783801,641.041138464055,0.1,0.817862108448516,3.9,31.8966222294921,3.9,31.8966222294921,1.002,8,0.0654289686758812,0.1908,0.74412,6.08587552138709
"lt_202010_10_Intervening_Area_Agate_Bay_CurCond","CurCond","10_Intervening_Area_Agate_Bay",73.51,609765,829.499387838389,251671,342.362943817168,0.7,9.52251394368113,1.9,25.8468235614202,2.4,32.6486192354782,0.934,3.9,0.053054006257652,0.1888,0.45312,6.16405931165828
"lt_202010_10_Intervening_Area_Agate_Bay_HighSev","HighSev","10_Intervening_Area_Agate_Bay",73.51,609765,829.499387838389,404173,549.820432594205,42,571.350836620868,3.8,51.6936471228404,26.2,356.414093320637,0.571,30.6,0.416269895252347,0.2794,7.32028,99.5820976737859
"lt_202010_10_Intervening_Area_Agate_Bay_LowSev","LowSev","10_Intervening_Area_Agate_Bay",73.51,609765,829.499387838389,360817,490.840701945314,1.5,20.4053870221739,3.1,42.1711331791593,4.4,59.85580193171,0.964,6.5,0.0884233437627534,0.1868,0.82192,11.1810638008434
"lt_202010_10_Intervening_Area_Agate_Bay_ModSev","ModSev","10_Intervening_Area_Agate_Bay",73.51,609765,829.499387838389,384157,522.591484151816,9.1,123.792681267855,3.5,47.6125697184057,10.5,142.837709155217,0.83,13.3,0.180927764929942,0.2081,2.18505,29.7245272752006
"lt_202010_10_Intervening_Area_Agate_Bay_PrescFire","PrescFire","10_Intervening_Area_Agate_Bay",73.51,609765,829.499387838389,331778,451.33723302952,1.8,24.4864644266086,2.9,39.4504149095361,4.6,62.5765202013331,0.971,6.6,0.0897837028975649,0.1858,0.85468,11.6267174534077
"lt_202010_10_Intervening_Area_Agate_Bay_SimFire.fccsFuels_obs_cli","SimFire_fccsFuels_obs_cli","10_Intervening_Area_Agate_Bay",73.51,609765,829.499387838389,382700,520.609440892396,8.4,114.270167324174,3.5,47.6125697184057,10,136.035913481159,0.837,12.8,0.174125969255884,0.2091,2.091,28.4451095089103
"lt_202010_10_Intervening_Area_Agate_Bay_SimFire.landisFuels_fut_cli_A2","SimFire_landisFuels_fut_cli_A2","10_Intervening_Area_Agate_Bay",73.51,640967,871.945313562781,396137,538.888586586859,20.9,284.315059175622,3.8,51.6936471228404,16.2,220.378179839478,0.656,19.6,0.266630390423072,0.2556,4.14072,56.3286627669705
"lt_202010_10_Intervening_Area_Agate_Bay_SimFire.landisFuels_obs_cli","SimFire_landisFuels_obs_cli","10_Intervening_Area_Agate_Bay",73.51,609765,829.499387838389,382700,520.609440892396,8.4,114.270167324174,3.5,47.6125697184057,10,136.035913481159,0.837,12.8,0.174125969255884,0.2091,2.091,28.4451095089103
"lt_202010_10_Intervening_Area_Agate_Bay_Thinn85","Thinn85","10_Intervening_Area_Agate_Bay",73.51,609765,829.499387838389,344548,468.709019181064,0.8,10.8828730784927,2.8,38.0900557747245,3.4,46.2522105835941,0.959,5.5,0.0748197524146375,0.1889,0.64226,8.73704257924092
