"ProjectName","Total.contributing.area.to.outlet..ha.","Precipitation..m.3.yr.","Precipitation.per.area..mm.yr.","Water.discharge..m.3.yr.","Water.discharge.per.area..mm.yr.","Total.hillslope.soil.loss..tonne.yr.","Total.hillslope.soil.loss.per.area..kg.ha.yr.","Total.channel.soil.loss..tonne.yr.","Total.channel.soil.loss.per.area..kg.ha.yr.","Sediment.discharge..tonne.yr.","Sediment.discharge.per.area..kg.ha.yr.","Sediment.delivery.ratio.for.watershed","Phosphorus.discharge..kg.yr.","Phosphorus.discharge.per.area..kg.ha.yr.","Watershed","Scenario"
"portland_SouthFork_CurCond.202009.cl532.chn_cs160",3840.28,118266464,3079.63127688606,88873169,2314.23669628256,3.8,0.989511181476351,343.8,89.5247221556761,335.4,87.3373816492547,0.965,735.1,0.191418334079807,"SouthFork","CurCond_202009_cl532"
"portland_CedarCreek_CurCond.202009.cl532.chn_cs150",1927.9,59256100,3073.60858965714,46724487,2423.59494787074,2.7,1.40048757715649,7.4,3.83837335961409,9.4,4.87577156491519,0.937,209.4,0.108615592095026,"CedarCreek","CurCond_202009_cl532"
"portland_BlazedAlder_CurCond.202009.cl532.chn_cs50",1800.13,53649291,2980.30092271114,43428948,2412.54509396544,2.6,1.44434013099054,250.5,139.156616466589,249.6,138.656652575092,0.986,433.1,0.240593734896924,"BlazedAlder","CurCond_202009_cl532"
"portland_FirCreek_CurCond.202009.cl532.chn_cs150",1344.48,43230995,3215.44351719624,31629559,2352.54961025824,3.4,2.52885874092586,44.2,32.8751636320362,47.8,35.5527787694871,1.004,183.6,0.136558372009996,"FirCreek","CurCond_202009_cl532"
"portland_BRnearMultnoma_CurCond.202009.cl532.chn_cs200",11881.78,327557402,2756.80413204082,278085515,2340.43649183877,138.9,11.6901676348157,694.4,58.442421926681,720,60.5969812603835,0.864,1894.5,0.159445806941384,"BRnearMultnoma","CurCond_202009_cl532"
"portland_NorthFork_CurCond.202009.cl532.chn_cs140",2022.25,60643198,2998.79826925454,46478817,2298.3714674249,2.2,1.08789714427,274.5,135.739893682779,277.1,137.025590307825,1.002,493,0.243787860056867,"NorthFork","CurCond_202009_cl532"
"portland_LittleSandy_CurCond.202009.cl532.chn_cs110",5739.2,166962930,2909.16730554781,114221709,1990.2026240591,6.5,1.13256202955116,890.3,155.126149986061,784.4,136.674100919989,0.875,1303.2,0.227069974909395,"LittleSandy","CurCond_202009_cl532"
"portland_SouthFork_CurCond.202009.cl532_gridmet.chn_cs160",3840.28,132140767,3440.91490724635,98053123,2553.28056808358,57.8,15.050985865614,569.6,148.322518149718,608.8,158.530107179685,0.97,1035.6,0.269667836720239,"SouthFork","CurCond_202009_cl532gridmet"
"portland_BlazedAlder_CurCond.202009.cl532_gridmet.chn_cs50",1800.13,55375626,3076.20149655858,42169662,2342.58981295795,19.7,10.9436540694283,275,152.766744623999,290.3,161.266130779444,0.985,466.2,0.258981295795304,"BlazedAlder","CurCond_202009_cl532gridmet"
"portland_FirCreek_CurCond.202009.cl532_gridmet.chn_cs150",1344.48,39519866,2939.41642865643,28822511,2143.76643758182,13.2,9.81792217065334,76.2,56.6761870760443,89.1,66.27097465191,0.997,212.3,0.157904914911341,"FirCreek","CurCond_202009_cl532gridmet"
"portland_BRnearMultnoma_CurCond.202009.cl532_gridmet.chn_cs200",11881.78,402194166,3384.96560279689,351890342,2961.59617498388,1165.9,98.125028404835,1780.1,149.817619918901,2574.5,216.676289242858,0.874,4010.8,0.337558850609925,"BRnearMultnoma","CurCond_202009_cl532gridmet"
"portland_LittleSandy_CurCond.202009.cl532_gridmet.chn_cs110",5739.2,164209601,2861.19321508224,109395356,1906.10809868971,30.4,5.29690549205464,1028.3,179.171313074993,920,160.301087259548,0.869,1410.6,0.245783384443825,"LittleSandy","CurCond_202009_cl532gridmet"
"portland_CedarCreek_CurCond.202009.cl532_gridmet.chn_cs150",1927.9,69091082,3583.74822345557,55713088,2889.83287514913,71.4,37.0351159292494,42.6,22.0965817729135,97.2,50.4175527776337,0.853,327.3,0.169770216297526,"CedarCreek","CurCond_202009_cl532gridmet"
"portland_NorthFork_CurCond.202009.cl532_gridmet.chn_cs140",2022.25,82037057,4056.72181975522,62197717,3075.66903201879,56.5,27.9391766596613,686.1,339.275559401657,740,365.929039436271,0.997,1014.2,0.501520583508468,"NorthFork","CurCond_202009_cl532gridmet"
"portland_LittleSandy_CurCond.202009.cl532_future.chn_cs110",5739.2,167042494,2910.55363116811,109090193,1900.79092904934,69.9,12.1793978254809,1133.4,197.483969891274,1035.7,180.460691385559,0.861,1519.9,0.264827850571508,"LittleSandy","CurCond_202009_cl532future"
"portland_SouthFork_CurCond.202009.cl532_future.chn_cs160",3840.28,134574364,3504.28520837022,97718953,2544.57885883321,138.3,36.0129990521524,650.2,169.31057110419,757.7,197.303321632798,0.961,1177.7,0.306670346953868,"SouthFork","CurCond_202009_cl532future"
"portland_CedarCreek_CurCond.202009.cl532_future.chn_cs150",1927.9,72268306,3748.55054722755,57680432,2991.87883188962,202,104.777218735412,68.1,35.3234088905026,245.6,127.392499610976,0.909,479.9,0.248923699362,"CedarCreek","CurCond_202009_cl532future"
"portland_BlazedAlder_CurCond.202009.cl532_future.chn_cs50",1800.13,60745155,3374.48712037464,46890848,2604.85898240683,63.5,35.2752301222689,352,195.541433118719,408.3,226.816952109014,0.983,600.1,0.333364812541316,"BlazedAlder","CurCond_202009_cl532future"
