"ProjectName","Total.contributing.area.to.outlet..ha.","Precipitation..m.3.yr.","Precipitation.per.area..mm.yr.","Water.discharge..m.3.yr.","Water.discharge.per.area..mm.yr.","Total.hillslope.soil.loss..tonne.yr.","Total.hillslope.soil.loss.per.area..kg.ha.yr.","Total.channel.soil.loss..tonne.yr.","Total.channel.soil.loss.per.area..kg.ha.yr.","Sediment.discharge..tonne.yr.","Sediment.discharge.per.area..kg.ha.yr.","Sediment.delivery.ratio.for.watershed","Phosphorus.discharge..kg.yr.","Phosphorus.discharge.per.area..kg.ha.yr.","Watershed","Scenario"
"seattle_k_Cedar_River_CurCond.202009.cl532.chn_cs200",9759.58,245330385,2513.73916705432,193722233,1984.94436235986,517.1,52.9838374192332,124.2,12.7259574694813,512.4,52.5022593185362,0.799,1288.7,0.132044616674078,"Cedar_River","CurCond_202009_cl532"
"seattle_k_Taylor_Creek_CurCond.202009.cl532.chn_cs100",4262.51,110991310,2603.8955920338,76524850,1795.30018697903,5.7,1.33724026453897,485.1,113.806184618922,385.2,90.3692894562124,0.785,732.6,0.171870564526535,"Taylor_Creek","CurCond_202009_cl532"
"seattle_k_Taylor_Creek_CurCond.202009.cl532_gridmet.chn_cs100",4262.51,123248115,2891.44459485139,87938982,2063.07978163101,48.7,11.4251931373768,742.5,174.193139722839,669.6,157.090540550051,0.846,1057.1,0.247999418183183,"Taylor_Creek","CurCond_202009_cl532gridmet"
"seattle_k_Cedar_River_CurCond.202009.cl532_gridmet.chn_cs200",9759.58,252309583,2585.25042061236,196994781,2018.47601023815,874.4,89.5940194147699,215.2,22.0501292063798,900.9,92.3093001952953,0.827,1684.6,0.172609886900871,"Cedar_River","CurCond_202009_cl532gridmet"
"seattle_k_Cedar_River_CurCond.202009.cl532_future.chn_cs200",9759.58,274722430,2814.90012889899,215216569,2205.18269228799,2223.2,227.796687972228,415.2,42.5428143424205,2423.4,248.309865793405,0.918,3265.1,0.334553331188432,"Cedar_River","CurCond_202009_cl532future"
"seattle_k_Taylor_Creek_CurCond.202009.cl532_future.chn_cs100",4262.51,131064086,3074.81005323155,93282430,2188.43897140417,142.6,33.4544669689924,912.4,214.052283748308,904.3,212.151994951331,0.857,1305.9,0.306368782712533,"Taylor_Creek","CurCond_202009_cl532future"
"seattle_k_Cedar_River_SimFire_Eagle.202009.cl532.chn_cs200",9759.58,245330385,2513.73916705432,206751236,2118.44399041762,391241.6,40087.9546046039,282628.8,28959.1150438851,35659.9,3653.83551341349,0.053,36478.5,3.7377120736753,"Cedar_River","SimFireEagle_202009_cl532"
"seattle_k_Taylor_Creek_SimFire_Eagle.202009.cl532.chn_cs100",4262.51,110991310,2603.8955920338,82619547,1938.28394537491,22441.8,5264.92606468958,4799.6,1126.00322345285,2704.4,634.461854634945,0.099,3074.2,0.72121824934135,"Taylor_Creek","SimFireEagle_202009_cl532"
"seattle_k_Cedar_River_SimFire_Norse.202009.cl532.chn_cs200",9759.58,245330385,2513.73916705432,208739606,2138.8175105896,532594.4,54571.4467220926,490093.7,50216.6794062859,47250.1,4841.40710973218,0.046,48074,4.9258267261501,"Cedar_River","SimFireNorse_202009_cl532"
"seattle_k_Taylor_Creek_SimFire_Norse.202009.cl532.chn_cs100",4262.51,110991310,2603.8955920338,82611218,1938.0885440738,18183.8,4265.98412672346,3805,892.666527468557,2391.3,561.007481507375,0.109,2761,0.647740415858262,"Taylor_Creek","SimFireNorse_202009_cl532"
"seattle_k_Cedar_River_PrescFireS.202009.chn_cs200",9759.58,245330385,2513.73916705432,197299713,2021.6004479701,38784.4,3973.98248695128,18850,1931.43557407184,6943.8,711.485535238197,0.12,7725.6,0.79159144143498,"Cedar_River","PrescFireS_202009"
"seattle_k_Taylor_Creek_PrescFireS.202009.chn_cs100",4262.51,110991310,2603.8955920338,78854398,1849.95221125581,1039.9,243.964237034048,552.4,129.595003882689,682.6,160.140386767421,0.429,1035.4,0.242908521035728,"Taylor_Creek","PrescFireS_202009"
"seattle_k_Cedar_River_LowSevS.202009.chn_cs200",9759.58,245330385,2513.73916705432,201886119,2068.59433500212,90858.2,9309.64242313706,130707.4,13392.7279657526,11568.3,1185.3276472963,0.052,12373.2,1.26780045862629,"Cedar_River","LowSevS_202009"
"seattle_k_Taylor_Creek_LowSevS.202009.chn_cs100",4262.51,110991310,2603.8955920338,80455603,1887.51704981337,2442,572.901881755116,567,133.02021578835,882.1,206.943796026285,0.293,1245.3,0.292151807268487,"Taylor_Creek","LowSevS_202009"
"seattle_k_Cedar_River_ModSevS.202009.chn_cs200",9759.58,245330385,2513.73916705432,208555542,2136.93152779116,412236,42239.1127487043,459337.3,47065.2733006953,37222.6,3813.95510872394,0.043,38046.1,3.89833373977159,"Cedar_River","ModSevS_202009"
"seattle_k_Taylor_Creek_ModSevS.202009.chn_cs100",4262.51,110991310,2603.8955920338,83413763,1956.91653509317,15403.4,3613.69240189466,2557.8,600.068973445224,2637.5,618.766876793251,0.147,3011,0.706391304653831,"Taylor_Creek","ModSevS_202009"
"seattle_k_Cedar_River_HighSevS.202009.chn_cs200",9759.58,245330385,2513.73916705432,213634156,2188.9687466059,1416920,145182.477114794,569274.5,58329.815422385,114082.2,11689.2530211341,0.057,114919.9,11.7750866328264,"Cedar_River","HighSevS_202009"
"seattle_k_Taylor_Creek_HighSevS.202009.chn_cs100",4262.51,110991310,2603.8955920338,85854909,2014.18668812507,69224.3,16240.2668850044,9988.4,2343.31415058264,8529.9,2001.14486534929,0.108,8912.2,2.09083380449547,"Taylor_Creek","HighSevS_202009"
